Season_ID,Player_ID
2026,606
2026,631
2026,685
2026,494
2026,439
2026,238
2026,101
2026,281
2026,955
2026,845
2026,1050
2026,455
2026,603
2026,251
2026,824
2026,37
2026,355
2026,699
2026,939
2026,814
2026,265
2026,121
2026,54
2026,1037
2026,441
2026,928
2026,154
2026,445
2025,505
2025,955
2025,460
2025,631
2025,205
2025,669
2025,494
2025,603
2025,281
2025,814
2025,939
2025,845
2025,1050
2025,998
2025,37
2025,439
2025,475
2025,328
2025,1030
2025,452
2025,224
2025,121
2025,203
2025,956
2025,641
2025,501
2025,1086
2025,915
2025,40
2025,999
2024,205
2024,1035
2024,355
2024,505
2024,75
2024,494
2024,843
2024,928
2024,439
2024,1037
2024,281
2024,998
2024,939
2024,631
2024,814
2024,699
2024,685
2024,603
2024,955
2024,53
2024,265
2024,54
2024,606
2024,854
2024,533
2024,585
2023,505
2023,281
2023,680
2023,411
2023,355
2023,75
2023,205
2023,249
2023,845
2023,278
2023,939
2023,577
2023,669
2023,533
2023,814
2023,699
2023,685
2023,494
2023,585
2023,854
2023,54
2023,1035
2023,238
2023,475
2023,631
2023,955
2023,1091
2022,955
2022,685
2022,355
2022,249
2022,814
2022,699
2022,224
2022,478
2022,337
2022,524
2022,162
2022,533
2022,505
2022,998
2022,411
2022,50
2022,265
2022,247
2022,675
2022,644
2022,603
2022,910
2022,1087
2022,631
2022,289
2022,460
2022,281
2021,699
2021,955
2021,355
2021,814
2021,685
2021,162
2021,494
2021,854
2021,205
2021,278
2021,910
2021,669
2021,95
2021,606
2021,505
2021,1091
2021,460
2021,281
2021,1087
2021,817
2021,585
2021,765
2021,265
2021,53
2021,631
2021,533
2021,80
